"name","id","start_date","distance","time_minutes","total_elevation_gain","average_heartrate","max_heartrate","average_cadence","average_speed","suffer_score"
"Long Run + build",8945183319,"2023-04-23T17:40:17Z",23.0664,92.0666666666667,156.2,154.2,168,89.4,15.2244,149
"Friday Cruise",8930672678,"2023-04-21T13:32:51Z",10.0593,45.05,31.9,148.9,156,88.1,14.004,58
"Solo Tempo",8925481489,"2023-04-20T14:24:45Z",17.2226,72.0666666666667,50.4,158.2,176,91.4,15.156,129
"Wednesday fun run ",8921325523,"2023-04-19T12:45:02Z",12.0372,61,44.5,143.2,161,87.3,13.1364,47
"3x1200+3x800",8912795829,"2023-04-18T13:02:16Z",12.3166,69.0166666666667,33.8,152.2,176,89.5,13.8996,71
"Long run",8901771002,"2023-04-16T13:04:06Z",22.1057,95.55,172.2,147.3,181,89.6,14.0616,109
"Campus loop",8889221173,"2023-04-14T13:02:52Z",10.0802,46.2,39,144,175,88,13.5144,40
"4x4x400 ",8884077368,"2023-04-13T13:47:29Z",16.6934,89.6333333333333,32.4,150.2,178,90,13.14,96
"Morning Run ",8877932289,"2023-04-12T12:46:14Z",13.7672,73.4333333333333,41.9,135.3,172,87.5,12.7548,32
"3mile/3km/1 mile",8871975186,"2023-04-11T13:02:55Z",17.5106,84.4833333333333,56.5,154.5,175,91.4,14.1948,108
"Short Long Run ",8860872160,"2023-04-09T13:34:24Z",20.103,87.0666666666667,146,145,170,87.2,13.9824,86
"Morning Run",8848096429,"2023-04-07T13:02:56Z",10.0769,52.1,41.5,144.9,177,88.3,13.5468,42
"8x1k",8843193429,"2023-04-06T14:45:41Z",16.4759,86.2,34,155.3,188,89.9,14.076,113
"Easy cruise",8836853679,"2023-04-05T12:46:38Z",12.3747,58.0166666666667,39.6,142,175,87.8,13.2516,41
"8k tempo ",8830914184,"2023-04-04T12:59:36Z",16.0171,78.0833333333333,53.4,152.6,173,90.2,14.5008,95
"Sunday Long Run ",8820100444,"2023-04-02T13:33:19Z",21.0336,95.9666666666667,85.6,145,172,86.5,13.7268,94
"Morning Run ",8808187446,"2023-03-31T13:04:12Z",10.7366,53.55,40.3,145,156,86.3,13.464,49
"4x2k + 3x200",8803114096,"2023-03-30T13:03:16Z",16.0295,81.9333333333333,30.8,154.1,179,87.8,13.3992,110
"8k Tempo",8791680391,"2023-03-28T13:03:06Z",15.7239,78.2,54.8,157.3,188,90,13.9284,116
"Morning Run ",8781559604,"2023-03-26T14:04:12Z",20.0425,96.4333333333333,71.6,140.6,168,87.3,13.3956,62
"Morning Run ",8775516602,"2023-03-25T12:50:10Z",15.727,114.4,40.8,143.3,171,89.1,13.7664,65
"Morning Run ",8769210122,"2023-03-24T13:02:42Z",8.0529,42.3,27.4,138.2,176,86.9,12.8556,20
"5x1k 3x400m",8764017014,"2023-03-23T13:02:50Z",13.4893,79.25,30.5,159.9,201,87,12.4452,119
"Tempo Run ",8752324638,"2023-03-21T13:02:10Z",13.4214,72.5833333333333,52.6,152.2,182,88.4,14.0184,83
"Birthday long run",8742195325,"2023-03-19T14:05:09Z",20.0465,93.2666666666667,68.9,141.7,167,89.1,13.3704,70
"Afternoon Run ",8731555749,"2023-03-17T21:01:24Z",10.0627,46.8333333333333,37.6,142.1,167,86.7,13.6944,39
"10x500 r 100m",8715298712,"2023-03-14T14:41:16Z",12.0968,52.7166666666667,28.4,155.9,175,91.5,15.0912,78
"Morning Run ",8715297493,"2023-03-14T14:30:35Z",1.0232,6.36666666666667,0,137,152,87.4,12.6144,3
"Sunday Long Run",8703043234,"2023-03-12T13:33:26Z",20.0339,94.65,82.7,145.3,181,90,13.4532,89
"Morning Run ",8691277147,"2023-03-10T14:01:51Z",11.1979,54.25,35.6,146.7,185,89.6,13.2552,57
"2x3mi -> 1x3mi + 1x1.5 mi",8686345920,"2023-03-09T14:01:28Z",16.0062,73.75,48.3,153.8,180,89.9,14.04,105
"2x(1600+800+400)",8675540984,"2023-03-07T14:01:13Z",12.768,66.2333333333333,33.1,145.4,172,89.1,13.158,56
"Morning Run",8653483171,"2023-03-03T14:02:33Z",16.0373,76.0833333333333,55.5,153.1,184,90,13.6512,109
"3x(4x400 r 200)",8647731557,"2023-03-02T14:01:57Z",13.4161,74.3333333333333,30.5,153.1,178,90.6,14.2776,85
"LRS",8626692977,"2023-02-26T14:47:16Z",18.0774,88.85,77.4,176.7,190,88.5,13.3452,54
"Jog 🏃‍♂️",8614855690,"2023-02-24T14:01:42Z",8.2517,38.15,13.2,170.6,194,88.4,13.0932,116
"Morning Run",8609652124,"2023-02-23T14:00:40Z",12.8901,69.9333333333333,30.6,159.1,192,90.5,12.9996,106
"3 2 1 tempo",8598761411,"2023-02-21T14:02:16Z",17.7177,82.1166666666667,54.6,154.4,174,90.8,14.4108,111
"Draper Long Run",8588400737,"2023-02-19T14:32:57Z",22.0115,98.4666666666667,222.3,145,165,87.7,13.6872,96
"Friday cruise ",8576350434,"2023-02-17T14:02:46Z",11.4324,54.0333333333333,38.5,143.2,157,88.5,13.3956,47
"4x1600m",8571267601,"2023-02-16T13:58:33Z",12.7371,67.5833333333333,28.5,151,184,90.4,13.4064,68
"7k tempo ",8560113276,"2023-02-14T14:01:57Z",16.4635,79.1166666666667,53,151.2,171,90.1,14.0364,89
"Long Run",8549885545,"2023-02-12T14:18:32Z",17.8276,97.0833333333333,36.2,137.6,163,86.1,12.654,41
"Easy Fridays",8539873137,"2023-02-10T14:28:39Z",10.7589,51.4333333333333,30.3,144.7,176,87.2,13.284,46
"2x3k tempo r 2'",8532607790,"2023-02-09T14:58:12Z",14.3608,68.2,44.2,154.6,188,89.6,14.0796,95
"6x3' on 1' off",8520977978,"2023-02-07T14:03:32Z",14.6217,67.1166666666667,51.3,148.7,172,88.7,13.9464,70
"Solo long run",8511104339,"2023-02-05T16:05:04Z",16.0552,71.1,59,150.2,176,86.7,13.6944,94
"TGIF",8498438175,"2023-02-03T13:44:10Z",10.0942,51.9833333333333,26.4,145.1,155,86.9,12.7404,48
"30 min + 6x300",8495438938,"2023-02-02T21:27:17Z",11.3102,48.9166666666667,23.3,158,179,87.3,14.22,92
"15 min tempo off the bike",8489421603,"2023-02-01T19:24:23Z",6.0223,24.5833333333333,0,165.1,177,90,14.6988,62
"Morning Run",8473145941,"2023-01-29T15:36:24Z",9.0298,41.75,33.4,156.9,169,87.6,13.0356,72
"Club run",8460378230,"2023-01-27T13:43:03Z",13.374,73.6166666666667,40.9,147.4,179,87.2,12.0852,74
"10x400",8455811486,"2023-01-26T15:45:52Z",15.0212,76.15,35.7,154.9,180,89.1,13.4064,110
"Afternoon Run",8452964354,"2023-01-25T23:55:21Z",6.6396,30.4833333333333,16.7,163.3,175,87.6,14.1696,14
"Sunday Run",8434398452,"2023-01-22T14:46:38Z",11.5772,60.6,41.7,124.3,146,86.6,11.9412,14
"Morning Run",8422785672,"2023-01-20T13:46:45Z",17.0392,89.8166666666667,56.4,140.1,188,87.4,12.7764,54
"Filling the time gap between classes.",8419556757,"2023-01-19T21:00:08Z",8.7215,37.7,16.5,146.2,158,86.6,13.9968,42
"3x1.609km ",8412350566,"2023-01-18T14:01:00Z",14.027,72.4666666666667,51.2,149.6,177,88,13.356,81
"Workout 1 of the spring semester ",8401852074,"2023-01-16T15:30:15Z",14.3814,64.5,48.2,150.9,173,88.7,14.0688,81
"Run",8397006355,"2023-01-15T14:45:51Z",13.0299,67.5666666666667,40.4,169.9,185,86.6,12.8916,30
"Easy run",8387154454,"2023-01-13T20:59:25Z",13.1388,69.4166666666667,41.8,142.7,184,84.8,12.7296,17
"Morning Run",8348066928,"2023-01-06T15:30:44Z",9.292,43.5833333333333,36.8,142.6,155,87.1,13.0968,36
"5k build",8333979259,"2023-01-03T21:55:20Z",14.049,55.8333333333333,115.4,153.4,172,89.7,15.2244,86
"New year 10k",8321651442,"2023-01-01T14:46:19Z",10.0291,46.5833333333333,32.6,144.7,188,87.2,13.0284,36
"Evening cruise",8308946181,"2022-12-29T20:41:35Z",10.0898,44.8666666666667,33.7,153.8,180,87.4,14.1624,70
"Christmas Run",8290661972,"2022-12-25T18:37:38Z",20.0183,85.55,196.5,147.4,161,87.9,14.04,101
"Lunch Run",8287423011,"2022-12-24T18:29:27Z",14.0831,64.2166666666667,38.2,147.1,161,88.7,13.9896,72
"8*3min r 90 sec",8283332120,"2022-12-23T19:27:11Z",15.4078,74.4166666666667,0,147.2,175,86.7,13.194,87
"6k tempo",8272531594,"2022-12-20T21:55:16Z",14.9987,69.8,58.1,153.9,174,90.7,14.5728,95
"Long Run",8259889489,"2022-12-17T15:31:06Z",20.5006,94.15,46.1,144.4,154,88.7,13.482,89
"Easy shake out",8256300401,"2022-12-16T20:22:41Z",10.0092,45.9666666666667,74.5,147.7,181,88.2,13.4496,56
"Sutton Tempo",8251886875,"2022-12-15T15:03:13Z",16.5054,91.7166666666667,55.6,147.2,174,90,13.7412,80
"3*1600 4*400",8243791864,"2022-12-13T13:33:17Z",13.9986,82.8666666666667,29.8,143.4,174,89.1,12.2976,52
"Sunday ""long"" run",8236583531,"2022-12-11T14:43:44Z",17.0103,82.7666666666667,54.3,139.2,155,86.5,12.8664,45
"6k tempo + 400s, 200s",8223878974,"2022-12-08T13:34:57Z",16.0369,88.3833333333333,53.6,145.3,173,88.9,12.996,63
"Short run off the bike",8221462905,"2022-12-07T23:51:29Z",5.3066,21.7833333333333,16.2,159.9,167,88.5,14.7276,41
"1->5->1 pyramid ",8215064732,"2022-12-06T13:44:05Z",17.1786,86.1,49.3,149.4,173,88.6,14.0508,90
"Coffee Run",8207357265,"2022-12-04T14:49:14Z",16.0169,115.016666666667,52.1,136.4,154,87.2,12.2616,34
"Afternoon Run",8199276199,"2022-12-02T22:04:44Z",5.644,26.4,22.7,140.6,148,85.5,12.8268,18
"6.4km tempo build",8193672764,"2022-12-01T13:21:15Z",16.2384,84.9666666666667,69.7,144.8,178,90.3,13.5792,66
"8*2min on 1min off",8184745278,"2022-11-29T13:33:24Z",13.3934,68.7,46.9,147.6,172,89.4,13.446,62
"Sunday run-day",8176984968,"2022-11-27T16:00:22Z",13.1305,64.65,42.8,138.5,163,87.6,12.2292,49
"Easy Run",8167193608,"2022-11-25T16:19:21Z",12.1258,55.5333333333333,34.8,145.3,160,87.6,13.1976,57
"Turkey Run 5k",8162516002,"2022-11-24T14:35:01Z",4.8855,16.5333333333333,7.7,172.3,177,94.5,17.73,54
"Warm up",8162515610,"2022-11-24T14:01:08Z",2.8999,12.8833333333333,9.3,154.5,172,87.1,13.5072,22
"Lunch Run",8158825017,"2022-11-23T18:38:48Z",3.7117,18.0166666666667,15.6,141,148,87.9,13.2552,12
